team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,attempts outside the penalty area  team1,attempts outside the penalty area  team2,left channel team1,left channel team2,left inside channel team1,left inside channel team2,central channel team1,central channel team2,right inside channel team1,right inside channel team2,right channel team1,right channel team2,total offers to receive team1,total offers to receive team2,inbehind offers to receive team1,inbehind offers to receive team2,inbetween offers to receive team1,inbetween offers to receive team2,infront offers to receive team1,infront offers to receive team2,receptions between midfield and defensive lines team1,receptions between midfield and defensive lines team2,attempted line breaks team1,attempted line breaks team2,completed line breaksteam1,completed line breaks team2,attempted defensive line breaks team1,attempted defensive line breaks team2,completed defensive line breaksteam1,completed defensive line breaks team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,crosses team1,crosses team2,crosses completed team1,crosses completed team2,switches of play completed team1,switches of play completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,own goals team1,own goals team2,forced turnovers team1,forced turnovers team2,defensive pressures applied team1,defensive pressures applied team2,Date,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,Man of the Match,1st Goal,Round,PSO,Goals in PSO,Own goals,Own goal Time
PORTUGAL,GHANA,55%,35%,10%,3.0,2.0,24 NOV 2022,17 : 00,Group H,11.0,8.0,2.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,5.0,3.0,3.0,5.0,7.0,2.0,4.0,6.0,24.0,7.0,6.0,9.0,7.0,6.0,4.0,3.0,10.0,3.0,762.0,459.0,168.0,87.0,308.0,187.0,286.0,185.0,20.0,5.0,198.0,150.0,149.0,88.0,26.0,12.0,18.0,4.0,2.0,4.0,0.0,0.0,14.0,19.0,1.0,1.0,636.0,394.0,573.0,326.0,17.0,12.0,4.0,3.0,13.0,2.0,3.0,3.0,19.0,15.0,1.0,0.0,8.0,11.0,0.0,0.0,70.0,82.0,286.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,SERBIA,53%,34%,13%,2.0,0.0,24 NOV 2022,20 : 00,Group G,24.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,9.0,3.0,11.0,1.0,13.0,3.0,14.0,10.0,9.0,3.0,10.0,4.0,7.0,3.0,20.0,7.0,727.0,414.0,144.0,67.0,275.0,185.0,308.0,162.0,11.0,4.0,184.0,140.0,134.0,91.0,16.0,15.0,10.0,6.0,0.0,3.0,0.0,0.0,7.0,12.0,1.0,0.0,585.0,403.0,526.0,341.0,19.0,13.0,3.0,3.0,6.0,6.0,6.0,4.0,12.0,8.0,0.0,0.0,4.0,24.0,0.0,0.0,72.0,71.0,236.0,338.0,,,,,,,,,,,,,,,,,,,,,,,,,
WALES,IRAN,51%,33%,16%,0.0,2.0,25 NOV 2022,11 : 00,Group B,10.0,21.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,6.0,4.0,6.0,5.0,7.0,5.0,14.0,18.0,7.0,3.0,3.0,8.0,7.0,11.0,4.0,13.0,7.0,722.0,343.0,135.0,109.0,286.0,149.0,301.0,85.0,13.0,9.0,208.0,185.0,129.0,92.0,17.0,24.0,8.0,10.0,1.0,2.0,1.0,0.0,9.0,10.0,2.0,2.0,508.0,295.0,413.0,202.0,20.0,26.0,5.0,4.0,13.0,5.0,2.0,7.0,12.0,11.0,0.0,0.0,21.0,9.0,0.0,0.0,89.0,84.0,161.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,
QATAR,SENEGAL,42%,48%,10%,1.0,3.0,25 NOV 2022,14 : 00,Group A,10.0,12.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,4.0,7.0,6.0,4.0,10.0,6.0,2.0,7.0,26.0,5.0,4.0,2.0,6.0,5.0,4.0,11.0,18.0,511.0,553.0,109.0,136.0,199.0,190.0,203.0,227.0,9.0,12.0,174.0,184.0,117.0,113.0,13.0,19.0,7.0,9.0,3.0,3.0,0.0,0.0,7.0,12.0,4.0,3.0,424.0,511.0,353.0,445.0,18.0,20.0,5.0,6.0,12.0,9.0,6.0,7.0,15.0,11.0,0.0,0.0,12.0,11.0,0.0,0.0,67.0,67.0,308.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,ECUADOR,48%,39%,13%,1.0,1.0,25 NOV 2022,17 : 00,Group A,2.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,3.0,0.0,8.0,2.0,5.0,8.0,10.0,8.0,5.0,2.0,2.0,4.0,5.0,11.0,4.0,632.0,541.0,129.0,86.0,267.0,276.0,236.0,179.0,4.0,12.0,168.0,155.0,115.0,84.0,9.0,22.0,4.0,10.0,0.0,1.0,0.0,0.0,15.0,12.0,1.0,4.0,524.0,425.0,451.0,345.0,8.0,22.0,0.0,4.0,6.0,2.0,2.0,5.0,16.0,16.0,0.0,0.0,14.0,2.0,0.0,0.0,85.0,52.0,254.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAND,UNITED STATES,51%,40%,9%,0.0,0.0,25 NOV 2022,20 : 00,Group B,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,7.0,6.0,6.0,2.0,4.0,11.0,12.0,2.0,0.0,7.0,1.0,5.0,6.0,11.0,8.0,676.0,539.0,116.0,129.0,290.0,238.0,270.0,172.0,10.0,6.0,208.0,143.0,147.0,88.0,23.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,9.0,15.0,1.0,0.0,550.0,427.0,488.0,368.0,13.0,16.0,4.0,2.0,9.0,2.0,3.0,7.0,15.0,10.0,0.0,0.0,10.0,8.0,0.0,0.0,52.0,61.0,266.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,
TUNISIA,AUSTRALIA,50%,31%,19%,0.0,1.0,26 NOV 2022,11 : 00,Group D,13.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,3.0,9.0,5.0,4.0,3.0,12.0,11.0,8.0,3.0,7.0,4.0,6.0,7.0,11.0,19.0,710.0,342.0,166.0,108.0,291.0,120.0,253.0,114.0,13.0,8.0,200.0,171.0,109.0,91.0,23.0,19.0,11.0,10.0,3.0,0.0,0.0,0.0,16.0,15.0,3.0,0.0,501.0,334.0,396.0,239.0,23.0,23.0,5.0,4.0,6.0,2.0,5.0,2.0,15.0,19.0,0.0,0.0,9.0,13.0,0.0,0.0,81.0,88.0,217.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,
POLAND,SAUDI ARABIA,30%,57%,14%,2.0,0.0,26 NOV 2022,14 : 00,Group C,8.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,3.0,9.0,8.0,9.0,0.0,7.0,7.0,21.0,2.0,6.0,4.0,5.0,8.0,7.0,13.0,15.0,428.0,661.0,140.0,156.0,164.0,264.0,124.0,241.0,14.0,22.0,150.0,205.0,84.0,153.0,22.0,27.0,12.0,19.0,3.0,2.0,0.0,0.0,18.0,15.0,0.0,0.0,303.0,560.0,236.0,494.0,19.0,24.0,8.0,4.0,5.0,13.0,4.0,5.0,15.0,17.0,0.0,0.0,16.0,9.0,0.0,0.0,69.0,53.0,329.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,DENMARK,44%,44%,12%,2.0,1.0,26 NOV 2022,17 : 00,Group D,21.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,6.0,2.0,8.0,6.0,16.0,5.0,5.0,5.0,15.0,13.0,7.0,5.0,4.0,3.0,1.0,4.0,13.0,25.0,630.0,615.0,111.0,171.0,226.0,268.0,293.0,176.0,11.0,17.0,155.0,173.0,105.0,132.0,16.0,23.0,12.0,15.0,1.0,2.0,0.0,0.0,4.0,9.0,1.0,1.0,503.0,537.0,437.0,473.0,23.0,18.0,12.0,4.0,7.0,14.0,6.0,4.0,10.0,5.0,0.0,0.0,10.0,21.0,0.0,0.0,79.0,61.0,269.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,
ARGENTINA,MEXICO,50%,36%,14%,2.0,0.0,26 NOV 2022,20 : 00,Group C,5.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,10.0,8.0,6.0,1.0,2.0,1.0,4.0,2.0,12.0,11.0,569.0,373.0,103.0,78.0,244.0,151.0,222.0,144.0,2.0,5.0,150.0,127.0,100.0,66.0,10.0,13.0,5.0,5.0,1.0,4.0,0.0,0.0,15.0,19.0,2.0,4.0,533.0,356.0,464.0,287.0,14.0,17.0,2.0,4.0,3.0,2.0,4.0,2.0,23.0,17.0,0.0,0.0,4.0,5.0,0.0,0.0,63.0,79.0,220.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,COSTA RICA,48%,39%,13%,0.0,1.0,27 NOV 2022,11 : 00,Group E,14.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,7.0,1.0,7.0,3.0,28.0,8.0,6.0,0.0,9.0,3.0,3.0,1.0,10.0,4.0,699.0,429.0,176.0,77.0,255.0,177.0,268.0,175.0,5.0,1.0,158.0,154.0,95.0,85.0,22.0,4.0,7.0,0.0,3.0,3.0,0.0,0.0,22.0,9.0,0.0,2.0,575.0,444.0,510.0,371.0,17.0,5.0,1.0,0.0,2.0,7.0,5.0,0.0,11.0,22.0,0.0,0.0,4.0,14.0,0.0,0.0,47.0,66.0,300.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,MOROCCO,56%,32%,12%,0.0,2.0,27 NOV 2022,14 : 00,Group F,10.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,12.0,10.0,8.0,3.0,3.0,2.0,4.0,1.0,9.0,11.0,732.0,441.0,144.0,109.0,211.0,173.0,377.0,159.0,4.0,7.0,149.0,125.0,104.0,89.0,13.0,11.0,3.0,8.0,1.0,1.0,0.0,0.0,10.0,14.0,3.0,3.0,671.0,317.0,598.0,275.0,19.0,9.0,3.0,4.0,6.0,10.0,9.0,1.0,17.0,13.0,0.0,0.0,11.0,10.0,0.0,0.0,38.0,78.0,194.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,
CROATIA,CANADA,41%,46%,13%,4.0,1.0,27 NOV 2022,17 : 00,Group F,13.0,9.0,1.0,4.0,3.0,1.0,1.0,0.0,4.0,1.0,10.0,2.0,2.0,3.0,9.0,2.0,4.0,7.0,7.0,8.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,13.0,573.0,592.0,113.0,121.0,256.0,247.0,204.0,224.0,15.0,6.0,193.0,201.0,124.0,134.0,24.0,15.0,10.0,6.0,2.0,2.0,0.0,0.0,13.0,5.0,1.0,3.0,462.0,511.0,391.0,434.0,22.0,15.0,5.0,5.0,6.0,7.0,5.0,2.0,8.0,14.0,0.0,0.0,9.0,13.0,0.0,0.0,87.0,72.0,347.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,
SPAIN,GERMANY,56%,33%,11%,1.0,1.0,27 NOV 2022,20 : 00,Group E,7.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,7.0,4.0,3.0,12.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,5.0,8.0,633.0,440.0,90.0,108.0,270.0,177.0,273.0,155.0,16.0,9.0,186.0,143.0,146.0,83.0,19.0,17.0,13.0,7.0,1.0,3.0,0.0,0.0,13.0,11.0,2.0,5.0,647.0,352.0,565.0,281.0,9.0,13.0,2.0,1.0,9.0,2.0,6.0,5.0,16.0,15.0,0.0,0.0,11.0,7.0,0.0,0.0,79.0,101.0,275.0,387.0,,,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,SERBIA,38%,49%,13%,3.0,3.0,28 NOV 2022,11 : 00,Group G,13.0,16.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,8.0,6.0,3.0,8.0,9.0,11.0,4.0,5.0,5.0,20.0,3.0,4.0,5.0,16.0,4.0,5.0,15.0,12.0,419.0,583.0,103.0,124.0,149.0,261.0,167.0,198.0,15.0,11.0,173.0,184.0,78.0,122.0,22.0,22.0,12.0,12.0,2.0,2.0,0.0,0.0,8.0,13.0,0.0,4.0,364.0,513.0,271.0,433.0,20.0,23.0,1.0,4.0,5.0,5.0,4.0,3.0,17.0,8.0,0.0,0.0,16.0,13.0,0.0,0.0,83.0,81.0,285.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,
KOREA REPUBLIC,GHANA,53%,32%,15%,2.0,3.0,28 NOV 2022,14 : 00,Group H,21.0,8.0,3.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,6.0,3.0,8.0,3.0,15.0,7.0,6.0,1.0,22.0,8.0,5.0,3.0,6.0,4.0,8.0,3.0,27.0,7.0,695.0,389.0,175.0,72.0,234.0,157.0,286.0,160.0,19.0,5.0,201.0,122.0,148.0,66.0,24.0,12.0,19.0,5.0,2.0,2.0,0.0,0.0,13.0,9.0,1.0,1.0,540.0,319.0,477.0,260.0,46.0,13.0,16.0,4.0,16.0,3.0,12.0,5.0,10.0,14.0,0.0,0.0,8.0,21.0,0.0,0.0,53.0,75.0,220.0,324.0,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,SWITZERLAND,51%,40%,9%,1.0,0.0,28 NOV 2022,17 : 00,Group G,9.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,6.0,2.0,3.0,2.0,19.0,7.0,12.0,3.0,5.0,4.0,5.0,6.0,11.0,10.0,659.0,568.0,154.0,128.0,218.0,212.0,287.0,228.0,16.0,4.0,164.0,173.0,114.0,100.0,20.0,17.0,11.0,4.0,1.0,1.0,0.0,0.0,10.0,17.0,3.0,1.0,565.0,488.0,498.0,415.0,26.0,11.0,3.0,3.0,6.0,2.0,8.0,3.0,18.0,13.0,0.0,0.0,4.0,9.0,0.0,0.0,85.0,80.0,282.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,
